Age Range,Covid Vacc Date,BlackCum,BlackCount,Black total,MixedCum,MixedCount,Mixed total,OtherCum,OtherCount,Other total,SouthAsianCum,SouthAsianCount,South Asian total,UnknownCum,UnknownCount,Unknown total,WhiteCum,WhiteCount,White total
70-79,2021-02-03,6461,294,14686,3374,154,6454,8085,462,15379,32466,1498,54817,71260,5887,138565,1141196,83783,1835617
70-79,2021-02-04,6867,406,14686,3612,238,6454,8568,483,15379,34202,1736,54817,77049,5789,138565,1227898,86702,1835617
70-79,2021-02-05,7224,357,14686,3815,203,6454,9065,497,15379,35777,1575,54817,83013,5964,138565,1307817,79919,1835617
70-79,2021-02-06,7574,350,14686,4067,252,6454,9562,497,15379,37443,1666,54817,91105,8092,138565,1413104,105287,1835617
70-79,2021-02-07,7749,175,14686,4193,126,6454,9800,238,15379,38297,854,54817,95466,4361,138565,1465142,52038,1835617
70-79,2021-02-08,7945,196,14686,4291,98,6454,10052,252,15379,39116,819,54817,99064,3598,138565,1508759,43617,1835617
70-79,2021-02-09,8148,203,14686,4431,140,6454,10339,287,15379,39963,847,54817,103502,4438,138565,1562043,53284,1835617
70-79,2021-02-10,8372,224,14686,4522,91,6454,10535,196,15379,40908,945,54817,106953,3451,138565,1602419,40376,1835617
70-79,2021-02-11,8617,245,14686,4606,84,6454,10773,238,15379,41643,735,54817,110362,3409,138565,1640506,38087,1835617
70-79,2021-02-12,8834,217,14686,4697,91,6454,10969,196,15379,42259,616,54817,113232,2870,138565,1672153,31647,1835617
70-79,2021-02-13,8974,140,14686,4767,70,6454,11144,175,15379,42784,525,54817,115486,2254,138565,1700111,27958,1835617
70-79,2021-02-14,9030,56,14686,4795,28,6454,11207,63,15379,43001,217,54817,116193,707,138565,1708133,8022,1835617
70-79,2021-02-15,9093,63,14686,4816,21,6454,11270,63,15379,43246,245,54817,116830,637,138565,1714622,6489,1835617
70-79,2021-02-16,9163,70,14686,4844,28,6454,11333,63,15379,43442,196,54817,117390,560,138565,1720173,5551,1835617
70-79,2021-02-17,9254,91,14686,4872,28,6454,11382,49,15379,43736,294,54817,117845,455,138565,1724996,4823,1835617
70-79,2021-02-18,9324,70,14686,4907,35,6454,11431,49,15379,43960,224,54817,118202,357,138565,1728755,3759,1835617
70-79,2021-02-19,9366,42,14686,4921,14,6454,11494,63,15379,44142,182,54817,118475,273,138565,1731590,2835,1835617
70-79,2021-02-20,9415,49,14686,4942,21,6454,11529,35,15379,44275,133,54817,118699,224,138565,1734173,2583,1835617
70-79,2021-02-21,9429,14,14686,4942,0,6454,11536,7,15379,44352,77,54817,118769,70,138565,1734908,735,1835617
70-79,2021-02-22,9464,35,14686,4949,7,6454,11550,14,15379,44457,105,54817,118881,112,138565,1736070,1162,1835617
70-79,2021-02-23,9520,56,14686,4963,14,6454,11585,35,15379,44611,154,54817,119091,210,138565,1737799,1729,1835617
70-79,2021-02-24,9576,56,14686,4984,21,6454,11627,42,15379,44751,140,54817,119322,231,138565,1740228,2429,1835617
70-79,2021-02-25,9646,70,14686,5005,21,6454,11669,42,15379,44954,203,54817,119574,252,138565,1742916,2688,1835617
70-79,2021-02-26,9702,56,14686,5026,21,6454,11725,56,15379,45143,189,54817,119847,273,138565,1745366,2450,1835617
70-79,2021-02-27,9737,35,14686,5047,21,6454,11746,21,15379,45290,147,54817,120022,175,138565,1746983,1617,1835617
70-79,2021-02-28,9758,21,14686,5054,7,6454,11767,21,15379,45339,49,54817,120085,63,138565,1747606,623,1835617
70-79,2021-03-01,9772,14,14686,5054,0,6454,11781,14,15379,45388,49,54817,120141,56,138565,1748292,686,1835617
70-79,2021-03-02,9793,21,14686,5061,7,6454,11795,14,15379,45444,56,54817,120218,77,138565,1749111,819,1835617
70-79,2021-03-03,9821,28,14686,5068,7,6454,11816,21,15379,45563,119,54817,120309,91,138565,1750126,1015,1835617
70-79,2021-03-04,9856,35,14686,5089,21,6454,11837,21,15379,45696,133,54817,120449,140,138565,1751561,1435,1835617
70-79,2021-03-05,9912,56,14686,5096,7,6454,11865,28,15379,45801,105,54817,120624,175,138565,1753283,1722,1835617
70-79,2021-03-06,9947,35,14686,5110,14,6454,11886,21,15379,45892,91,54817,120757,133,138565,1754550,1267,1835617
70-79,2021-03-07,9961,14,14686,5117,7,6454,11893,7,15379,45941,49,54817,120785,28,138565,1754823,273,1835617
70-79,2021-03-08,9975,14,14686,5124,7,6454,11900,7,15379,45997,56,54817,120834,49,138565,1755369,546,1835617
70-79,2021-03-09,10003,28,14686,5124,0,6454,11907,7,15379,46060,63,54817,120890,56,138565,1755985,616,1835617
70-79,2021-03-10,10024,21,14686,5131,7,6454,11921,14,15379,46116,56,54817,120939,49,138565,1756671,686,1835617
70-79,2021-03-11,10052,28,14686,5138,7,6454,11935,14,15379,46172,56,54817,121009,70,138565,1757301,630,1835617
70-79,2021-03-12,10080,28,14686,5152,14,6454,11956,21,15379,46256,84,54817,121100,91,138565,1758190,889,1835617
70-79,2021-03-13,10115,35,14686,5159,7,6454,11984,28,15379,46340,84,54817,121212,112,138565,1759058,868,1835617
70-79,2021-03-14,10122,7,14686,5159,0,6454,11991,7,15379,46375,35,54817,121240,28,138565,1759401,343,1835617
70-79,2021-03-15,10150,28,14686,5166,7,6454,11998,7,15379,46424,49,54817,121282,42,138565,1759884,483,1835617
70-79,2021-03-16,10164,14,14686,5173,7,6454,12012,14,15379,46487,63,54817,121352,70,138565,1760430,546,1835617
70-79,2021-03-17,10178,14,14686,5180,7,6454,12026,14,15379,46578,91,54817,121394,42,138565,1760941,511,1835617
70-79,2021-03-18,10206,28,14686,5194,14,6454,12040,14,15379,46634,56,54817,121471,77,138565,1761522,581,1835617
70-79,2021-03-19,10227,21,14686,5201,7,6454,12061,21,15379,46697,63,54817,121527,56,138565,1762075,553,1835617
70-79,2021-03-20,10241,14,14686,5208,7,6454,12075,14,15379,46732,35,54817,121590,63,138565,1762642,567,1835617
70-79,2021-03-21,10255,14,14686,5215,7,6454,12082,7,15379,46774,42,54817,121618,28,138565,1762845,203,1835617
70-79,2021-03-22,10269,14,14686,5222,7,6454,12089,7,15379,46809,35,54817,121653,35,138565,1763160,315,1835617
70-79,2021-03-23,10283,14,14686,5222,0,6454,12096,7,15379,46851,42,54817,121688,35,138565,1763545,385,1835617
70-79,2021-03-24,10297,14,14686,5229,7,6454,12110,14,15379,46900,49,54817,121737,49,138565,1763986,441,1835617
70-79,2021-03-25,10325,28,14686,5236,7,6454,12131,21,15379,46935,35,54817,121779,42,138565,1764483,497,1835617
70-79,2021-03-26,10339,14,14686,5243,7,6454,12152,21,15379,46991,56,54817,121835,56,138565,1765001,518,1835617
70-79,2021-03-27,10367,28,14686,5250,7,6454,12159,7,15379,47047,56,54817,121905,70,138565,1765596,595,1835617
70-79,2021-03-28,10381,14,14686,5250,0,6454,12166,7,15379,47082,35,54817,121933,28,138565,1765827,231,1835617
70-79,2021-03-29,10395,14,14686,5250,0,6454,12173,7,15379,47110,28,54817,121975,42,138565,1766142,315,1835617
70-79,2021-03-30,10409,14,14686,5257,7,6454,12180,7,15379,47145,35,54817,122010,35,138565,1766534,392,1835617
70-79,2021-03-31,10430,21,14686,5257,0,6454,12187,7,15379,47173,28,54817,122052,42,138565,1767017,483,1835617
70-79,2021-04-01,10444,14,14686,5264,7,6454,12194,7,15379,47208,35,54817,122080,28,138565,1767409,392,1835617
70-79,2021-04-02,10451,7,14686,5264,0,6454,12201,7,15379,47222,14,54817,122115,35,138565,1767661,252,1835617
70-79,2021-04-03,10451,0,14686,5271,7,6454,12208,7,15379,47236,14,54817,122136,21,138565,1767836,175,1835617
70-79,2021-04-04,10458,7,14686,5271,0,6454,12208,0,15379,47250,14,54817,122143,7,138565,1767906,70,1835617
70-79,2021-04-05,10458,0,14686,5271,0,6454,12208,0,15379,47257,7,54817,122143,0,138565,1767948,42,1835617
70-79,2021-04-06,10458,0,14686,5271,0,6454,12215,7,15379,47278,21,54817,122157,14,138565,1768193,245,1835617
70-79,2021-04-07,10472,14,14686,5278,7,6454,12222,7,15379,47341,63,54817,122178,21,138565,1768501,308,1835617
70-79,2021-04-08,10493,21,14686,5278,0,6454,12229,7,15379,47369,28,54817,122213,35,138565,1768921,420,1835617
70-79,2021-04-09,10507,14,14686,5285,7,6454,12243,14,15379,47411,42,54817,122241,28,138565,1769306,385,1835617
70-79,2021-04-10,10514,7,14686,5285,0,6454,12250,7,15379,47432,21,54817,122276,35,138565,1769705,399,1835617
70-79,2021-04-11,10514,0,14686,5285,0,6454,12250,0,15379,47446,14,54817,122290,14,138565,1769880,175,1835617
70-79,2021-04-12,10521,7,14686,5285,0,6454,12257,7,15379,47460,14,54817,122311,21,138565,1770104,224,1835617
70-79,2021-04-13,10528,7,14686,5285,0,6454,12264,7,15379,47481,21,54817,122332,21,138565,1770391,287,1835617
70-79,2021-04-14,10535,7,14686,5285,0,6454,12271,7,15379,47502,21,54817,122353,21,138565,1770699,308,1835617
70-79,2021-04-15,10549,14,14686,5292,7,6454,12271,0,15379,47523,21,54817,122367,14,138565,1771035,336,1835617
70-79,2021-04-16,10556,7,14686,5292,0,6454,12278,7,15379,47544,21,54817,122395,28,138565,1771504,469,1835617
70-79,2021-04-17,10563,7,14686,5292,0,6454,12285,7,15379,47565,21,54817,122423,28,138565,1771854,350,1835617
70-79,2021-04-18,10563,0,14686,5292,0,6454,12285,0,15379,47579,14,54817,122430,7,138565,1772029,175,1835617
70-79,2021-04-19,10570,7,14686,5299,7,6454,12292,7,15379,47586,7,54817,122444,14,138565,1772239,210,1835617
70-79,2021-04-20,10570,0,14686,5299,0,6454,12299,7,15379,47600,14,54817,122465,21,138565,1772463,224,1835617
70-79,2021-04-21,10577,7,14686,5299,0,6454,12306,7,15379,47628,28,54817,122493,28,138565,1772736,273,1835617
70-79,2021-04-22,10584,7,14686,5299,0,6454,12313,7,15379,47642,14,54817,122514,21,138565,1773107,371,1835617
70-79,2021-04-23,10591,7,14686,5306,7,6454,12320,7,15379,47663,21,54817,122549,35,138565,1773457,350,1835617
70-79,2021-04-24,10605,14,14686,5313,7,6454,12320,0,15379,47684,21,54817,122577,28,138565,1773835,378,1835617
70-79,2021-04-25,10605,0,14686,5313,0,6454,12327,7,15379,47698,14,54817,122591,14,138565,1774129,294,1835617
70-79,2021-04-26,10605,0,14686,5313,0,6454,12327,0,15379,47712,14,54817,122605,14,138565,1774325,196,1835617
70-79,2021-04-27,10612,7,14686,5313,0,6454,12334,7,15379,47719,7,54817,122626,21,138565,1774570,245,1835617
70-79,2021-04-28,10626,14,14686,5320,7,6454,12341,7,15379,47733,14,54817,122640,14,138565,1774829,259,1835617
70-79,2021-04-29,10633,7,14686,5320,0,6454,12341,0,15379,47761,28,54817,122675,35,138565,1775116,287,1835617
70-79,2021-04-30,10633,0,14686,5320,0,6454,12348,7,15379,47775,14,54817,122696,21,138565,1775333,217,1835617
70-79,2021-05-01,10640,7,14686,5320,0,6454,12348,0,15379,47796,21,54817,122710,14,138565,1775536,203,1835617
70-79,2021-05-02,10640,0,14686,5320,0,6454,12355,7,15379,47810,14,54817,122717,7,138565,1775599,63,1835617
70-79,2021-05-03,10647,7,14686,5320,0,6454,12355,0,15379,47810,0,54817,122731,14,138565,1775662,63,1835617
70-79,2021-05-04,10647,0,14686,5320,0,6454,12355,0,15379,47817,7,54817,122745,14,138565,1775774,112,1835617
70-79,2021-05-05,10654,7,14686,5327,7,6454,12362,7,15379,47831,14,54817,122759,14,138565,1775921,147,1835617
70-79,2021-05-06,10668,14,14686,5327,0,6454,12369,7,15379,47852,21,54817,122773,14,138565,1776096,175,1835617
70-79,2021-05-07,10668,0,14686,5327,0,6454,12369,0,15379,47866,14,54817,122787,14,138565,1776250,154,1835617
70-79,2021-05-08,10675,7,14686,5327,0,6454,12376,7,15379,47873,7,54817,122801,14,138565,1776376,126,1835617
70-79,2021-05-09,10675,0,14686,5327,0,6454,12376,0,15379,47880,7,54817,122808,7,138565,1776425,49,1835617
70-79,2021-05-10,10682,7,14686,5327,0,6454,12383,7,15379,47894,14,54817,122808,0,138565,1776495,70,1835617
70-79,2021-05-11,10689,7,14686,5327,0,6454,12383,0,15379,47908,14,54817,122815,7,138565,1776600,105,1835617
70-79,2021-05-12,10689,0,14686,5327,0,6454,12390,7,15379,47943,35,54817,122836,21,138565,1776740,140,1835617
70-79,2021-05-13,10703,14,14686,5334,7,6454,12390,0,15379,47957,14,54817,122850,14,138565,1776908,168,1835617
70-79,2021-05-14,10710,7,14686,5334,0,6454,12397,7,15379,47985,28,54817,122864,14,138565,1777034,126,1835617
70-79,2021-05-15,10717,7,14686,5341,7,6454,12404,7,15379,48006,21,54817,122878,14,138565,1777153,119,1835617
70-79,2021-05-16,10724,7,14686,5341,0,6454,12411,7,15379,48020,14,54817,122892,14,138565,1777202,49,1835617
70-79,2021-05-17,10724,0,14686,5341,0,6454,12418,7,15379,48034,14,54817,122892,0,138565,1777265,63,1835617
70-79,2021-05-18,10731,7,14686,5341,0,6454,12425,7,15379,48055,21,54817,122899,7,138565,1777370,105,1835617
70-79,2021-05-19,10738,7,14686,5341,0,6454,12432,7,15379,48090,35,54817,122920,21,138565,1777503,133,1835617
70-79,2021-05-20,10745,7,14686,5341,0,6454,12432,0,15379,48125,35,54817,122941,21,138565,1777629,126,1835617
70-79,2021-05-21,10752,7,14686,5348,7,6454,12439,7,15379,48146,21,54817,122955,14,138565,1777741,112,1835617
70-79,2021-05-22,10759,7,14686,5348,0,6454,12439,0,15379,48174,28,54817,122976,21,138565,1777839,98,1835617
70-79,2021-05-23,10766,7,14686,5348,0,6454,12439,0,15379,48181,7,54817,122983,7,138565,1777888,49,1835617
70-79,2021-05-24,10766,0,14686,5348,0,6454,12446,7,15379,48188,7,54817,122990,7,138565,1777958,70,1835617
70-79,2021-05-25,10773,7,14686,5355,7,6454,12446,0,15379,48216,28,54817,123004,14,138565,1778028,70,1835617
70-79,2021-05-26,10780,7,14686,5355,0,6454,12453,7,15379,48237,21,54817,123018,14,138565,1778161,133,1835617
70-79,2021-05-27,10787,7,14686,5355,0,6454,12453,0,15379,48258,21,54817,123039,21,138565,1778259,98,1835617
70-79,2021-05-28,10794,7,14686,5355,0,6454,12460,7,15379,48279,21,54817,123053,14,138565,1778350,91,1835617
70-79,2021-05-29,10794,0,14686,5362,7,6454,12467,7,15379,48314,35,54817,123067,14,138565,1778427,77,1835617
70-79,2021-05-30,10801,7,14686,5362,0,6454,12467,0,15379,48328,14,54817,123067,0,138565,1778462,35,1835617
70-79,2021-05-31,10801,0,14686,5362,0,6454,12467,0,15379,48335,7,54817,123074,7,138565,1778476,14,1835617
70-79,2021-06-01,10801,0,14686,5362,0,6454,12467,0,15379,48349,14,54817,123081,7,138565,1778525,49,1835617
70-79,2021-06-02,10808,7,14686,5362,0,6454,12474,7,15379,48356,7,54817,123088,7,138565,1778602,77,1835617
70-79,2021-06-03,10815,7,14686,5369,7,6454,12474,0,15379,48370,14,54817,123088,0,138565,1778686,84,1835617
70-79,2021-06-04,10822,7,14686,5369,0,6454,12481,7,15379,48391,21,54817,123095,7,138565,1778742,56,1835617
70-79,2021-06-05,10829,7,14686,5369,0,6454,12488,7,15379,48412,21,54817,123109,14,138565,1778798,56,1835617
70-79,2021-06-06,10829,0,14686,5369,0,6454,12488,0,15379,48419,7,54817,123116,7,138565,1778840,42,1835617
70-79,2021-06-07,10829,0,14686,5369,0,6454,12488,0,15379,48426,7,54817,123130,14,138565,1778882,42,1835617
70-79,2021-06-08,10836,7,14686,5369,0,6454,12495,7,15379,48447,21,54817,123137,7,138565,1778938,56,1835617
70-79,2021-06-09,10843,7,14686,5376,7,6454,12495,0,15379,48454,7,54817,123144,7,138565,1779008,70,1835617
70-79,2021-06-10,10850,7,14686,5376,0,6454,12502,7,15379,48475,21,54817,123151,7,138565,1779085,77,1835617
70-79,2021-06-11,10857,7,14686,5376,0,6454,12502,0,15379,48482,7,54817,123165,14,138565,1779169,84,1835617
70-79,2021-06-12,10864,7,14686,5383,7,6454,12509,7,15379,48503,21,54817,123172,7,138565,1779225,56,1835617
70-79,2021-06-13,10864,0,14686,5383,0,6454,12516,7,15379,48510,7,54817,123179,7,138565,1779260,35,1835617
70-79,2021-06-14,10871,7,14686,5383,0,6454,12516,0,15379,48517,7,54817,123179,0,138565,1779316,56,1835617
70-79,2021-06-15,10871,0,14686,5383,0,6454,12516,0,15379,48531,14,54817,123186,7,138565,1779379,63,1835617
70-79,2021-06-16,10878,7,14686,5383,0,6454,12523,7,15379,48545,14,54817,123207,21,138565,1779449,70,1835617
70-79,2021-06-17,10885,7,14686,5383,0,6454,12523,0,15379,48559,14,54817,123214,7,138565,1779519,70,1835617
70-79,2021-06-18,10892,7,14686,5383,0,6454,12523,0,15379,48566,7,54817,123235,21,138565,1779561,42,1835617
70-79,2021-06-19,10899,7,14686,5383,0,6454,12523,0,15379,48580,14,54817,123242,7,138565,1779624,63,1835617
70-79,2021-06-20,10899,0,14686,5383,0,6454,12530,7,15379,48587,7,54817,123249,7,138565,1779652,28,1835617
70-79,2021-06-21,10899,0,14686,5383,0,6454,12530,0,15379,48594,7,54817,123249,0,138565,1779673,21,1835617
70-79,2021-06-22,10906,7,14686,5390,7,6454,12530,0,15379,48601,7,54817,123256,7,138565,1779722,49,1835617
70-79,2021-06-23,10913,7,14686,5390,0,6454,12537,7,15379,48608,7,54817,123270,14,138565,1779750,28,1835617
70-79,2021-06-24,10913,0,14686,5390,0,6454,12537,0,15379,48608,0,54817,123270,0,138565,1779750,0,1835617
80+,2020-12-01,0,0,10969,0,0,3234,0,0,6692,0,0,28056,0,0,58961,0,0,997885
80+,2020-12-08,0,0,10969,0,0,3234,0,0,6692,0,0,28056,14,14,58961,518,518,997885
80+,2020-12-09,0,0,10969,0,0,3234,21,21,6692,21,21,28056,56,42,58961,1876,1358,997885
80+,2020-12-10,7,7,10969,7,7,3234,35,14,6692,49,28,28056,112,56,58961,3661,1785,997885
80+,2020-12-11,14,7,10969,14,7,3234,42,7,6692,70,21,28056,161,49,58961,5362,1701,997885
80+,2020-12-12,21,7,10969,14,0,3234,49,7,6692,84,14,28056,196,35,58961,6580,1218,997885
80+,2020-12-13,21,0,10969,14,0,3234,63,14,6692,105,21,28056,231,35,58961,7672,1092,997885
80+,2020-12-14,28,7,10969,14,0,3234,70,7,6692,140,35,28056,287,56,58961,9471,1799,997885
80+,2020-12-15,126,98,10969,49,35,3234,147,77,6692,497,357,28056,1274,987,58961,28917,19446,997885
80+,2020-12-16,308,182,10969,119,70,3234,280,133,6692,1120,623,28056,2919,1645,58961,61061,32144,997885
80+,2020-12-17,476,168,10969,175,56,3234,413,133,6692,1687,567,28056,4333,1414,58961,89726,28665,997885
80+,2020-12-18,581,105,10969,217,42,3234,511,98,6692,2135,448,28056,5138,805,58961,108395,18669,997885
80+,2020-12-19,749,168,10969,287,70,3234,637,126,6692,2919,784,28056,6006,868,58961,130900,22505,997885
80+,2020-12-20,847,98,10969,329,42,3234,735,98,6692,3346,427,28056,6944,938,58961,150836,19936,997885
80+,2020-12-21,917,70,10969,357,28,3234,805,70,6692,3633,287,28056,7427,483,58961,162729,11893,997885
80+,2020-12-22,1008,91,10969,406,49,3234,882,77,6692,3969,336,28056,8330,903,58961,185395,22666,997885
80+,2020-12-23,1057,49,10969,427,21,3234,966,84,6692,4151,182,28056,9016,686,58961,201481,16086,997885
80+,2020-12-24,1071,14,10969,441,14,3234,987,21,6692,4277,126,28056,9163,147,58961,204932,3451,997885
80+,2020-12-25,1071,0,10969,441,0,3234,987,0,6692,4277,0,28056,9163,0,58961,204932,0,997885
80+,2020-12-26,1071,0,10969,441,0,3234,987,0,6692,4277,0,28056,9163,0,58961,204939,7,997885
80+,2020-12-27,1071,0,10969,441,0,3234,987,0,6692,4284,7,28056,9170,7,58961,205114,175,997885
80+,2020-12-28,1071,0,10969,441,0,3234,987,0,6692,4291,7,28056,9184,14,58961,205548,434,997885
80+,2020-12-29,1120,49,10969,469,28,3234,1022,35,6692,4445,154,28056,9443,259,58961,212891,7343,997885
80+,2020-12-30,1218,98,10969,504,35,3234,1092,70,6692,4774,329,28056,10213,770,58961,231203,18312,997885
80+,2020-12-31,1267,49,10969,532,28,3234,1155,63,6692,5040,266,28056,10906,693,58961,244139,12936,997885
80+,2021-01-01,1274,7,10969,539,7,3234,1162,7,6692,5054,14,28056,11081,175,58961,246526,2387,997885
80+,2021-01-02,1281,7,10969,539,0,3234,1169,7,6692,5096,42,28056,11186,105,58961,248710,2184,997885
80+,2021-01-03,1281,0,10969,539,0,3234,1169,0,6692,5103,7,28056,11263,77,58961,250117,1407,997885
80+,2021-01-04,1288,7,10969,539,0,3234,1176,7,6692,5124,21,28056,11312,49,58961,251419,1302,997885
80+,2021-01-05,1302,14,10969,546,7,3234,1183,7,6692,5180,56,28056,11473,161,58961,254282,2863,997885
80+,2021-01-06,1330,28,10969,567,21,3234,1225,42,6692,5348,168,28056,11816,343,58961,261163,6881,997885
80+,2021-01-07,1435,105,10969,623,56,3234,1386,161,6692,5733,385,28056,13356,1540,58961,293349,32186,997885
80+,2021-01-08,1708,273,10969,735,112,3234,1673,287,6692,6629,896,28056,15260,1904,58961,331009,37660,997885
80+,2021-01-09,2023,315,10969,826,91,3234,1834,161,6692,7630,1001,28056,16954,1694,58961,364826,33817,997885
80+,2021-01-10,2177,154,10969,868,42,3234,1918,84,6692,8078,448,28056,17808,854,58961,380016,15190,997885
80+,2021-01-11,2247,70,10969,889,21,3234,1946,28,6692,8281,203,28056,18200,392,58961,387548,7532,997885
80+,2021-01-12,2345,98,10969,924,35,3234,2030,84,6692,8561,280,28056,19495,1295,58961,410529,22981,997885
80+,2021-01-13,2527,182,10969,987,63,3234,2163,133,6692,9310,749,28056,21413,1918,58961,445697,35168,997885
80+,2021-01-14,2863,336,10969,1085,98,3234,2443,280,6692,10682,1372,28056,23345,1932,58961,480529,34832,997885
80+,2021-01-15,3227,364,10969,1225,140,3234,2667,224,6692,11788,1106,28056,25753,2408,58961,525371,44842,997885
80+,2021-01-16,3549,322,10969,1351,126,3234,2933,266,6692,12677,889,28056,28539,2786,58961,579159,53788,997885
80+,2021-01-17,3661,112,10969,1414,63,3234,3108,175,6692,13104,427,28056,29694,1155,58961,602133,22974,997885
80+,2021-01-18,3780,119,10969,1456,42,3234,3206,98,6692,13363,259,28056,30352,658,58961,614789,12656,997885
80+,2021-01-19,3983,203,10969,1540,84,3234,3374,168,6692,14105,742,28056,32396,2044,58961,652890,38101,997885
80+,2021-01-20,4305,322,10969,1638,98,3234,3577,203,6692,15071,966,28056,34692,2296,58961,693224,40334,997885
80+,2021-01-21,4571,266,10969,1736,98,3234,3710,133,6692,15736,665,28056,36722,2030,58961,728266,35042,997885
80+,2021-01-22,4921,350,10969,1869,133,3234,4011,301,6692,16702,966,28056,39319,2597,58961,774235,45969,997885
80+,2021-01-23,5208,287,10969,1953,84,3234,4277,266,6692,17514,812,28056,41531,2212,58961,811769,37534,997885
80+,2021-01-24,5327,119,10969,1995,42,3234,4368,91,6692,17759,245,28056,42105,574,58961,822486,10717,997885
80+,2021-01-25,5453,126,10969,2044,49,3234,4417,49,6692,18088,329,28056,42728,623,58961,833112,10626,997885
80+,2021-01-26,5621,168,10969,2086,42,3234,4529,112,6692,18501,413,28056,43442,714,58961,845992,12880,997885
80+,2021-01-27,5803,182,10969,2121,35,3234,4599,70,6692,18858,357,28056,44072,630,58961,856310,10318,997885
80+,2021-01-28,5964,161,10969,2177,56,3234,4683,84,6692,19222,364,28056,44807,735,58961,869638,13328,997885
80+,2021-01-29,6097,133,10969,2233,56,3234,4760,77,6692,19572,350,28056,45598,791,58961,883484,13846,997885
80+,2021-01-30,6230,133,10969,2268,35,3234,4816,56,6692,19880,308,28056,46291,693,58961,893193,9709,997885
80+,2021-01-31,6286,56,10969,2282,14,3234,4844,28,6692,20027,147,28056,46557,266,58961,897071,3878,997885
80+,2021-02-01,6342,56,10969,2296,14,3234,4879,35,6692,20188,161,28056,46837,280,58961,902006,4935,997885
80+,2021-02-02,6412,70,10969,2324,28,3234,4907,28,6692,20384,196,28056,47152,315,58961,907081,5075,997885
80+,2021-02-03,6489,77,10969,2338,14,3234,4935,28,6692,20601,217,28056,47446,294,58961,912275,5194,997885
80+,2021-02-04,6580,91,10969,2366,28,3234,4977,42,6692,20853,252,28056,47726,280,58961,917392,5117,997885
80+,2021-02-05,6664,84,10969,2387,21,3234,5026,49,6692,21049,196,28056,48006,280,58961,922257,4865,997885
80+,2021-02-06,6755,91,10969,2408,21,3234,5061,35,6692,21259,210,28056,48237,231,58961,925498,3241,997885
80+,2021-02-07,6783,28,10969,2415,7,3234,5068,7,6692,21343,84,28056,48349,112,58961,927031,1533,997885
80+,2021-02-08,6846,63,10969,2422,7,3234,5082,14,6692,21448,105,28056,48496,147,58961,929824,2793,997885
80+,2021-02-09,6923,77,10969,2443,21,3234,5117,35,6692,21623,175,28056,48664,168,58961,933030,3206,997885
80+,2021-02-10,6979,56,10969,2457,14,3234,5152,35,6692,21854,231,28056,48874,210,58961,936922,3892,997885
80+,2021-02-11,7077,98,10969,2478,21,3234,5180,28,6692,22064,210,28056,49091,217,58961,940436,3514,997885
80+,2021-02-12,7175,98,10969,2499,21,3234,5208,28,6692,22232,168,28056,49287,196,58961,943824,3388,997885
80+,2021-02-13,7238,63,10969,2513,14,3234,5229,21,6692,22337,105,28056,49427,140,58961,945931,2107,997885
80+,2021-02-14,7259,21,10969,2520,7,3234,5243,14,6692,22393,56,28056,49476,49,58961,946715,784,997885
80+,2021-02-15,7294,35,10969,2520,0,3234,5250,7,6692,22456,63,28056,49567,91,58961,947940,1225,997885
80+,2021-02-16,7336,42,10969,2527,7,3234,5264,14,6692,22533,77,28056,49630,63,58961,949095,1155,997885
80+,2021-02-17,7378,42,10969,2534,7,3234,5278,14,6692,22638,105,28056,49686,56,58961,950306,1211,997885
80+,2021-02-18,7420,42,10969,2541,7,3234,5292,14,6692,22715,77,28056,49763,77,58961,951405,1099,997885
80+,2021-02-19,7448,28,10969,2541,0,3234,5299,7,6692,22799,84,28056,49826,63,58961,952357,952,997885
80+,2021-02-20,7476,28,10969,2548,7,3234,5306,7,6692,22848,49,28056,49861,35,58961,952903,546,997885
80+,2021-02-21,7490,14,10969,2548,0,3234,5313,7,6692,22876,28,28056,49875,14,58961,953078,175,997885
80+,2021-02-22,7504,14,10969,2555,7,3234,5320,7,6692,22918,42,28056,49903,28,58961,953491,413,997885
80+,2021-02-23,7532,28,10969,2555,0,3234,5327,7,6692,22988,70,28056,49959,56,58961,954268,777,997885
80+,2021-02-24,7560,28,10969,2562,7,3234,5341,14,6692,23051,63,28056,50015,56,58961,955115,847,997885
80+,2021-02-25,7602,42,10969,2569,7,3234,5355,14,6692,23142,91,28056,50085,70,58961,956025,910,997885
80+,2021-02-26,7644,42,10969,2576,7,3234,5369,14,6692,23212,70,28056,50148,63,58961,956893,868,997885
80+,2021-02-27,7672,28,10969,2590,14,3234,5376,7,6692,23268,56,28056,50190,42,58961,957299,406,997885
80+,2021-02-28,7679,7,10969,2590,0,3234,5383,7,6692,23282,14,28056,50204,14,58961,957425,126,997885
80+,2021-03-01,7700,21,10969,2597,7,3234,5383,0,6692,23310,28,28056,50232,28,58961,957705,280,997885
80+,2021-03-02,7714,14,10969,2597,0,3234,5390,7,6692,23345,35,28056,50253,21,58961,958160,455,997885
80+,2021-03-03,7735,21,10969,2604,7,3234,5397,7,6692,23387,42,28056,50288,35,58961,958741,581,997885
80+,2021-03-04,7756,21,10969,2611,7,3234,5404,7,6692,23464,77,28056,50337,49,58961,959357,616,997885
80+,2021-03-05,7791,35,10969,2611,0,3234,5411,7,6692,23534,70,28056,50386,49,58961,960001,644,997885
